ANO;TRIMESTRE;PARCELAS;QUANTIDADE
2011;1º TRIMESTRE DE 2011;7 OU + PARC;0,016
2011;1º TRIMESTRE DE 2011;4 A 6 PARC;0,041
2011;1º TRIMESTRE DE 2011;2 E 3 PARC;0,127
2011;1º TRIMESTRE DE 2011;1 PARCELA;0,817
2011;2º TRIMESTRE DE 2011;7 OU + PARC;0,014
2011;2º TRIMESTRE DE 2011;4 A 6 PARC;0,044
2011;2º TRIMESTRE DE 2011;2 E 3 PARC;0,134
2011;2º TRIMESTRE DE 2011;1 PARCELA;0,807
2011;3º TRIMESTRE DE 2011;7 OU + PARC;0,015
2011;3º TRIMESTRE DE 2011;4 A 6 PARC;0,043
2011;3º TRIMESTRE DE 2011;2 E 3 PARC;0,132
2011;3º TRIMESTRE DE 2011;1 PARCELA;0,810
2011;4º TRIMESTRE DE 2011;7 OU + PARC;0,016
2011;4º TRIMESTRE DE 2011;4 A 6 PARC;0,048
2011;4º TRIMESTRE DE 2011;2 E 3 PARC;0,146
2011;4º TRIMESTRE DE 2011;1 PARCELA;0,789
2012;1º TRIMESTRE DE 2012;7 OU + PARC;0,016
2012;1º TRIMESTRE DE 2012;4 A 6 PARC;0,042
2012;1º TRIMESTRE DE 2012;2 E 3 PARC;0,127
2012;1º TRIMESTRE DE 2012;1 PARCELA;0,816
2012;2º TRIMESTRE DE 2012;7 OU + PARC;0,015
2012;2º TRIMESTRE DE 2012;4 A 6 PARC;0,044
2012;2º TRIMESTRE DE 2012;2 E 3 PARC;0,134
2012;2º TRIMESTRE DE 2012;1 PARCELA;0,807
2012;3º TRIMESTRE DE 2012;7 OU + PARC;0,015
2012;3º TRIMESTRE DE 2012;4 A 6 PARC;0,043
2012;3º TRIMESTRE DE 2012;2 E 3 PARC;0,131
2012;3º TRIMESTRE DE 2012;1 PARCELA;0,811
2012;4º TRIMESTRE DE 2012;7 OU + PARC;0,017
2012;4º TRIMESTRE DE 2012;4 A 6 PARC;0,047
